STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,Reference area,MEASURE,Measure,UNIT_MEASURE,Unit of measure,WORKING_HOURS_INCREASE,Increase in working hours,INCOME_CURR,Earnings of the reference person,HOUSEHOLD_TYPE,Household type,AGE_CHILDREN,Age of children,INCOME_PREV,Earnings in the previous job,INCOME_PART,Earnings of the spouse,CHILDCARE_USE,Use of childcare services,UNEMP_DURATION,Unemployment duration,SOC_ASS_BENEFIT,Eligibility for social assistance benefits,HOUSE_BENEFIT,Eligibility for rent supplements,TEMP_INTOWORK_BENEFIT,Eligibility for temporary into-work benefits,BENEFIT_TYPE,Primary out-of-work benefit,CONTRIBUTION,Participation tax rate breakdown,CHILDCARE_COST,Net childcare cost breakdown,BENEFIT_TIER,Benefit tier,STAT_REF_POP,Reference population for average and median wage statistics,METHOD_MIN_WAGE,Minimum wage methodology,FREQ,Frequency of observation,TIME_PERIOD,Time period,OBS_VALUE,Observation value,OBS_STATUS,Observation status,UNIT_MULT,Unit multiplier,DECIMALS,Decimals
DATAFLOW,OECD.ELS.JAI:DSD_TAXBEN@DF_SBE(1.0),Strictness of activation requirements,I,AUS,Australia,OVER,Strictness of activation requirements overall score,1_TO_5,1-5 scale,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,FT,First-tier unemployment benefits (e.g. unemployment insurance),_Z,Not applicable,_Z,Not applicable,A,Annual,2020,,2.83,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.ELS.JAI:DSD_TAXBEN@DF_SBE(1.0),Strictness of activation requirements,I,AUS,Australia,OVER,Strictness of activation requirements overall score,1_TO_5,1-5 scale,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,FT,First-tier unemployment benefits (e.g. unemployment insurance),_Z,Not applicable,_Z,Not applicable,A,Annual,2017,,3.08,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.ELS.JAI:DSD_TAXBEN@DF_SBE(1.0),Strictness of activation requirements,I,AUS,Australia,OVER,Strictness of activation requirements overall score,1_TO_5,1-5 scale,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,FT,First-tier unemployment benefits (e.g. unemployment insurance),_Z,Not applicable,_Z,Not applicable,A,Annual,2014,,3.25,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.ELS.JAI:DSD_TAXBEN@DF_SBE(1.0),Strictness of activation requirements,I,AUS,Australia,OVER,Strictness of activation requirements overall score,1_TO_5,1-5 scale,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,FT,First-tier unemployment benefits (e.g. unemployment insurance),_Z,Not applicable,_Z,Not applicable,A,Annual,2011,,3.25,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.ELS.JAI:DSD_TAXBEN@DF_SBE(1.0),Strictness of activation requirements,I,AUS,Australia,OVER,Strictness of activation requirements overall score,1_TO_5,1-5 scale,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,FLT,First lower-tier benefits (e.g. unemployment assistance),_Z,Not applicable,_Z,Not applicable,A,Annual,2022,,2.83,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.ELS.JAI:DSD_TAXBEN@DF_SBE(1.0),Strictness of activation requirements,I,AUS,Australia,OVER,Strictness of activation requirements overall score,1_TO_5,1-5 scale,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,FLT,First lower-tier benefits (e.g. unemployment assistance),_Z,Not applicable,_Z,Not applicable,A,Annual,2020,,2.83,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.ELS.JAI:DSD_TAXBEN@DF_SBE(1.0),Strictness of activation requirements,I,AUS,Australia,OVER,Strictness of activation requirements overall score,1_TO_5,1-5 scale,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,FLT,First lower-tier benefits (e.g. unemployment assistance),_Z,Not applicable,_Z,Not applicable,A,Annual,2017,,3.08,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.ELS.JAI:DSD_TAXBEN@DF_SBE(1.0),Strictness of activation requirements,I,AUS,Australia,AVAIL,Availability requirements overall score,1_TO_5,1-5 scale,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,FT,First-tier unemployment benefits (e.g. unemployment insurance),_Z,Not applicable,_Z,Not applicable,A,Annual,2022,,1.33,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.ELS.JAI:DSD_TAXBEN@DF_SBE(1.0),Strictness of activation requirements,I,AUS,Australia,AVAIL,Availability requirements overall score,1_TO_5,1-5 scale,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,FT,First-tier unemployment benefits (e.g. unemployment insurance),_Z,Not applicable,_Z,Not applicable,A,Annual,2020,,1.33,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.ELS.JAI:DSD_TAXBEN@DF_SBE(1.0),Strictness of activation requirements,I,ROU,Romania,DOCJSA,Job-search requirements for documentation of job-search activities,1_TO_5,1-5 scale,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,FT,First-tier unemployment benefits (e.g. unemployment insurance),_Z,Not applicable,_Z,Not applicable,A,Annual,2011,,1,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.ELS.JAI:DSD_TAXBEN@DF_SBE(1.0),Strictness of activation requirements,I,AUS,Australia,AVAIL,Availability requirements overall score,1_TO_5,1-5 scale,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,FT,First-tier unemployment benefits (e.g. unemployment insurance),_Z,Not applicable,_Z,Not applicable,A,Annual,2011,,1.33,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.ELS.JAI:DSD_TAXBEN@DF_SBE(1.0),Strictness of activation requirements,I,AUS,Australia,OTHREA,Availability requirements for other valid reasons,1_TO_5,1-5 scale,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,FT,First-tier unemployment benefits (e.g. unemployment insurance),_Z,Not applicable,_Z,Not applicable,A,Annual,2022,,3,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.ELS.JAI:DSD_TAXBEN@DF_SBE(1.0),Strictness of activation requirements,I,AUS,Australia,FIRSAN,Sanctions for refusals of job offers,1_TO_5,1-5 scale,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,FLT,First lower-tier benefits (e.g. unemployment assistance),_Z,Not applicable,_Z,Not applicable,A,Annual,2022,,1,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.ELS.JAI:DSD_TAXBEN@DF_SBE(1.0),Strictness of activation requirements,I,AUS,Australia,FIRSAN,Sanctions for refusals of job offers,1_TO_5,1-5 scale,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,FLT,First lower-tier benefits (e.g. unemployment assistance),_Z,Not applicable,_Z,Not applicable,A,Annual,2020,,1,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.ELS.JAI:DSD_TAXBEN@DF_SBE(1.0),Strictness of activation requirements,I,AUS,Australia,FIRSAN,Sanctions for refusals of job offers,1_TO_5,1-5 scale,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,FLT,First lower-tier benefits (e.g. unemployment assistance),_Z,Not applicable,_Z,Not applicable,A,Annual,2017,,1.5,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.ELS.JAI:DSD_TAXBEN@DF_SBE(1.0),Strictness of activation requirements,I,AUS,Australia,AVAIL,Availability requirements overall score,1_TO_5,1-5 scale,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,FLT,First lower-tier benefits (e.g. unemployment assistance),_Z,Not applicable,_Z,Not applicable,A,Annual,2022,,1.33,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.ELS.JAI:DSD_TAXBEN@DF_SBE(1.0),Strictness of activation requirements,I,AUS,Australia,AVAIL,Availability requirements overall score,1_TO_5,1-5 scale,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,FLT,First lower-tier benefits (e.g. unemployment assistance),_Z,Not applicable,_Z,Not applicable,A,Annual,2020,,1.33,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.ELS.JAI:DSD_TAXBEN@DF_SBE(1.0),Strictness of activation requirements,I,AUS,Australia,AVAIL,Availability requirements overall score,1_TO_5,1-5 scale,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,FLT,First lower-tier benefits (e.g. unemployment assistance),_Z,Not applicable,_Z,Not applicable,A,Annual,2017,,1.33,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.ELS.JAI:DSD_TAXBEN@DF_SBE(1.0),Strictness of activation requirements,I,AUS,Australia,AVALMP,Availability requirements for ALMP participation,1_TO_5,1-5 scale,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,FT,First-tier unemployment benefits (e.g. unemployment insurance),_Z,Not applicable,_Z,Not applicable,A,Annual,2022,,5,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.ELS.JAI:DSD_TAXBEN@DF_SBE(1.0),Strictness of activation requirements,I,AUS,Australia,AVALMP,Availability requirements for ALMP participation,1_TO_5,1-5 scale,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,FT,First-tier unemployment benefits (e.g. unemployment insurance),_Z,Not applicable,_Z,Not applicable,A,Annual,2020,,5,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.ELS.JAI:DSD_TAXBEN@DF_SBE(1.0),Strictness of activation requirements,I,AUS,Australia,AVALMP,Availability requirements for ALMP participation,1_TO_5,1-5 scale,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,FT,First-tier unemployment benefits (e.g. unemployment insurance),_Z,Not applicable,_Z,Not applicable,A,Annual,2017,,5,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.ELS.JAI:DSD_TAXBEN@DF_SBE(1.0),Strictness of activation requirements,I,AUS,Australia,AVALMP,Availability requirements for ALMP participation,1_TO_5,1-5 scale,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,FT,First-tier unemployment benefits (e.g. unemployment insurance),_Z,Not applicable,_Z,Not applicable,A,Annual,2014,,5,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.ELS.JAI:DSD_TAXBEN@DF_SBE(1.0),Strictness of activation requirements,I,AUS,Australia,AVALMP,Availability requirements for ALMP participation,1_TO_5,1-5 scale,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,FT,First-tier unemployment benefits (e.g. unemployment insurance),_Z,Not applicable,_Z,Not applicable,A,Annual,2011,,5,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.ELS.JAI:DSD_TAXBEN@DF_SBE(1.0),Strictness of activation requirements,I,AUS,Australia,AVALMP,Availability requirements for ALMP participation,1_TO_5,1-5 scale,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,FLT,First lower-tier benefits (e.g. unemployment assistance),_Z,Not applicable,_Z,Not applicable,A,Annual,2022,,5,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.ELS.JAI:DSD_TAXBEN@DF_SBE(1.0),Strictness of activation requirements,I,AUS,Australia,AVALMP,Availability requirements for ALMP participation,1_TO_5,1-5 scale,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,FLT,First lower-tier benefits (e.g. unemployment assistance),_Z,Not applicable,_Z,Not applicable,A,Annual,2020,,5,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.ELS.JAI:DSD_TAXBEN@DF_SBE(1.0),Strictness of activation requirements,I,AUS,Australia,AVALMP,Availability requirements for ALMP participation,1_TO_5,1-5 scale,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,FLT,First lower-tier benefits (e.g. unemployment assistance),_Z,Not applicable,_Z,Not applicable,A,Annual,2017,,5,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.ELS.JAI:DSD_TAXBEN@DF_SBE(1.0),Strictness of activation requirements,I,AUS,Australia,OCCMOB,Availability requirements for occupational mobility,1_TO_5,1-5 scale,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,FT,First-tier unemployment benefits (e.g. unemployment insurance),_Z,Not applicable,_Z,Not applicable,A,Annual,2022,,5,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.ELS.JAI:DSD_TAXBEN@DF_SBE(1.0),Strictness of activation requirements,I,AUS,Australia,OCCMOB,Availability requirements for occupational mobility,1_TO_5,1-5 scale,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,FT,First-tier unemployment benefits (e.g. unemployment insurance),_Z,Not applicable,_Z,Not applicable,A,Annual,2020,,5,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.ELS.JAI:DSD_TAXBEN@DF_SBE(1.0),Strictness of activation requirements,I,AUS,Australia,OCCMOB,Availability requirements for occupational mobility,1_TO_5,1-5 scale,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,FT,First-tier unemployment benefits (e.g. unemployment insurance),_Z,Not applicable,_Z,Not applicable,A,Annual,2017,,5,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.ELS.JAI:DSD_TAXBEN@DF_SBE(1.0),Strictness of activation requirements,I,AUS,Australia,OCCMOB,Availability requirements for occupational mobility,1_TO_5,1-5 scale,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,FT,First-tier unemployment benefits (e.g. unemployment insurance),_Z,Not applicable,_Z,Not applicable,A,Annual,2014,,5,,A,Normal value,0,Units,2,Two
